a,b,rule,flags
337,336,2.1,map_symbol_reviewed;reviewed;printed_map_review
365,362,2.1,map_symbol_reviewed;reviewed;printed_map_review
363,366,2.1,map_symbol_reviewed;reviewed;printed_map_review
367,363,2.1,map_symbol_reviewed;reviewed;printed_map_review
362,363,2.1,map_symbol_reviewed;reviewed;printed_map_review
369,368,2.1,map_symbol_reviewed;reviewed;printed_map_review
360,368,2.1,map_symbol_reviewed;reviewed;printed_map_review
359,368,2.1,map_symbol_reviewed;reviewed;printed_map_review
360,363,2.1,map_symbol_reviewed;reviewed;printed_map_review
361,363,2.1,map_symbol_reviewed;reviewed;printed_map_review
360,361,2.1,map_symbol_reviewed;reviewed;printed_map_review
357,361,2.1,map_symbol_reviewed;reviewed;printed_map_review
360,357,2.1,map_symbol_reviewed;reviewed;printed_map_review
359,360,2.1,map_symbol_reviewed;reviewed;printed_map_review
358,359,2.1,map_symbol_reviewed;reviewed;printed_map_review
353,358,2.1,map_symbol_reviewed;reviewed;printed_map_review
353,357,2.1,map_symbol_reviewed;reviewed;printed_map_review
354,357,2.1,map_symbol_reviewed;reviewed;printed_map_review
353,354,2.1,map_symbol_reviewed;reviewed;printed_map_review
356,361,2.1,map_symbol_reviewed;reviewed;printed_map_review
362,361,2.1,map_symbol_reviewed;reviewed;printed_map_review
356,362,2.1,map_symbol_reviewed;reviewed;printed_map_review
354,355,2.1,map_symbol_reviewed;reviewed;printed_map_review
357,356,2.1,map_symbol_reviewed;reviewed;printed_map_review
355,356,2.1,map_symbol_reviewed;reviewed;printed_map_review
335,356,2.1,map_symbol_reviewed;reviewed;printed_map_review
355,335,2.1,map_symbol_reviewed;reviewed;printed_map_review
334,356,2.1,map_symbol_reviewed;reviewed;printed_map_review
335,334,2.1,map_symbol_reviewed;reviewed;printed_map_review
336,334,2.1,map_symbol_reviewed;reviewed;printed_map_review
333,334,2.1,map_symbol_reviewed;reviewed;printed_map_review
332,334,2.1,map_symbol_reviewed;reviewed;printed_map_review
323,335,2.1,map_symbol_reviewed;reviewed;printed_map_review
279,267,2.1,map_symbol_reviewed;reviewed;printed_map_review
280,268,2.1,map_symbol_reviewed;reviewed;printed_map_review
267,268,2.1,map_symbol_reviewed;reviewed;printed_map_review
269,268,2.1,map_symbol_reviewed;reviewed;printed_map_review
270,269,2.1,map_symbol_reviewed;reviewed;printed_map_review
272,269,2.1,map_symbol_reviewed;reviewed;printed_map_review
270,272,2.1,map_symbol_reviewed;reviewed;printed_map_review
275,272,2.1,map_symbol_reviewed;reviewed;printed_map_review
273,272,2.1,map_symbol_reviewed;reviewed;printed_map_review
271,273,2.1,map_symbol_reviewed;reviewed;printed_map_review
270,271,2.1,map_symbol_reviewed;reviewed;printed_map_review
274,273,2.1,map_symbol_reviewed;reviewed;printed_map_review
275,274,2.1,map_symbol_reviewed;reviewed;printed_map_review
276,274,2.1,map_symbol_reviewed;reviewed;printed_map_review
265,276,2.1,map_symbol_reviewed;reviewed;printed_map_review
191,265,2.1,map_symbol_reviewed;reviewed;printed_map_review
264,265,2.1,map_symbol_reviewed;reviewed;printed_map_review
191,264,2.1,map_symbol_reviewed;reviewed;printed_map_review
263,191,2.1,map_symbol_reviewed;reviewed;printed_map_review
264,263,2.1,map_symbol_reviewed;reviewed;printed_map_review
262,263,2.1,map_symbol_reviewed;reviewed;printed_map_review
261,262,2.1,map_symbol_reviewed;reviewed;printed_map_review
260,261,2.1,map_symbol_reviewed;reviewed;printed_map_review
255,261,2.1,map_symbol_reviewed;reviewed;printed_map_review
254,260,2.1,map_symbol_reviewed;reviewed;printed_map_review
256,254,2.1,map_symbol_reviewed;reviewed;printed_map_review
255,256,2.1,map_symbol_reviewed;reviewed;printed_map_review
258,255,2.1,map_symbol_reviewed;reviewed;printed_map_review
256,258,2.1,map_symbol_reviewed;reviewed;printed_map_review
180,258,2.1,map_symbol_reviewed;reviewed;printed_map_review
256,257,2.1,map_symbol_reviewed;reviewed;printed_map_review
180,257,2.1,map_symbol_reviewed;reviewed;printed_map_review
157,180,2.1,map_symbol_reviewed;reviewed;printed_map_review
182,258,2.1,map_symbol_reviewed;reviewed;printed_map_review
180,182,2.1,map_symbol_reviewed;reviewed;printed_map_review
157,182,2.1,map_symbol_reviewed;reviewed;printed_map_review
256,180,2.1,map_symbol_reviewed;reviewed;printed_map_review
179,157,2.1,map_symbol_reviewed;reviewed;printed_map_review
196,179,2.1,map_symbol_reviewed;reviewed;printed_map_review
195,196,2.1,map_symbol_reviewed;reviewed;printed_map_review
193,195,2.1,map_symbol_reviewed;reviewed;printed_map_review
192,193,2.1,map_symbol_reviewed;reviewed;printed_map_review
194,193,2.1,map_symbol_reviewed;reviewed;printed_map_review
195,194,2.1,map_symbol_reviewed;reviewed;printed_map_review
192,188,2.1,map_symbol_reviewed;reviewed;printed_map_review
194,188,2.1,map_symbol_reviewed;reviewed;printed_map_review
187,188,2.1,map_symbol_reviewed;reviewed;printed_map_review
177,187,2.1,map_symbol_reviewed;reviewed;printed_map_review
174,187,2.1,map_symbol_reviewed;reviewed;printed_map_review
173,177,2.1,map_symbol_reviewed;reviewed;printed_map_review
174,173,2.1,map_symbol_reviewed;reviewed;printed_map_review
190,177,2.1,map_symbol_reviewed;reviewed;printed_map_review
173,190,2.1,map_symbol_reviewed;reviewed;printed_map_review
412,173,2.1,map_symbol_reviewed;reviewed;printed_map_review
412,174,2.1,map_symbol_reviewed;reviewed;printed_map_review
166,412,2.1,map_symbol_reviewed;reviewed;printed_map_review
176,412,2.1,map_symbol_reviewed;reviewed;printed_map_review
166,176,2.1,map_symbol_reviewed;reviewed;printed_map_review
184,181,2.1,map_symbol_reviewed;reviewed;printed_map_review
183,181,2.1,map_symbol_reviewed;reviewed;printed_map_review
184,183,2.1,map_symbol_reviewed;reviewed;printed_map_review
178,171,2.1,map_symbol_reviewed;reviewed;printed_map_review
181,171,2.1,map_symbol_reviewed;reviewed;printed_map_review
178,183,2.1,map_symbol_reviewed;reviewed;printed_map_review
167,178,2.1,map_symbol_reviewed;reviewed;printed_map_review
168,178,2.1,map_symbol_reviewed;reviewed;printed_map_review
171,170,2.1,map_symbol_reviewed;reviewed;printed_map_review
178,172,2.1,map_symbol_reviewed;reviewed;printed_map_review
158,172,2.1,map_symbol_reviewed;reviewed;printed_map_review
170,158,2.1,map_symbol_reviewed;reviewed;printed_map_review
185,170,2.1,map_symbol_reviewed;reviewed;printed_map_review
171,158,2.1,map_symbol_reviewed;reviewed;printed_map_review
169,168,2.1,map_symbol_reviewed;reviewed;printed_map_review
172,169,2.1,map_symbol_reviewed;reviewed;printed_map_review
166,169,2.1,map_symbol_reviewed;reviewed;printed_map_review
161,169,2.1,map_symbol_reviewed;reviewed;printed_map_review
176,161,2.1,map_symbol_reviewed;reviewed;printed_map_review
165,176,2.1,map_symbol_reviewed;reviewed;printed_map_review
161,162,2.1,map_symbol_reviewed;reviewed;printed_map_review
165,162,2.1,map_symbol_reviewed;reviewed;printed_map_review
144,161,2.1,map_symbol_reviewed;reviewed;printed_map_review
160,161,2.1,map_symbol_reviewed;reviewed;printed_map_review
169,160,2.1,map_symbol_reviewed;reviewed;printed_map_review
158,159,2.1,map_symbol_reviewed;reviewed;printed_map_review
160,159,2.1,map_symbol_reviewed;reviewed;printed_map_review
156,160,2.1,map_symbol_reviewed;reviewed;printed_map_review
147,154,2.1,map_symbol_reviewed;reviewed;printed_map_review
156,147,2.1,map_symbol_reviewed;reviewed;printed_map_review
158,154,2.1,map_symbol_reviewed;reviewed;printed_map_review
153,185,2.1,map_symbol_reviewed;reviewed;printed_map_review
152,153,2.1,map_symbol_reviewed;reviewed;printed_map_review
151,152,2.1,map_symbol_reviewed;reviewed;printed_map_review
148,153,2.1,map_symbol_reviewed;reviewed;printed_map_review
150,151,2.1,map_symbol_reviewed;reviewed;printed_map_review
155,146,2.1,map_symbol_reviewed;reviewed;printed_map_review
151,146,2.1,map_symbol_reviewed;reviewed;printed_map_review
147,151,2.1,map_symbol_reviewed;reviewed;printed_map_review
146,145,2.1,map_symbol_reviewed;reviewed;printed_map_review
144,145,2.1,map_symbol_reviewed;reviewed;printed_map_review
141,144,2.1,map_symbol_reviewed;reviewed;printed_map_review
140,145,2.1,map_symbol_reviewed;reviewed;printed_map_review
141,140,2.1,map_symbol_reviewed;reviewed;printed_map_review
162,141,2.1,map_symbol_reviewed;reviewed;printed_map_review
163,141,2.1,map_symbol_reviewed;reviewed;printed_map_review
140,139,2.1,map_symbol_reviewed;reviewed;printed_map_review
143,140,2.1,map_symbol_reviewed;reviewed;printed_map_review
139,143,2.1,map_symbol_reviewed;reviewed;printed_map_review
163,139,2.1,map_symbol_reviewed;reviewed;printed_map_review
165,163,2.1,map_symbol_reviewed;reviewed;printed_map_review
164,165,2.1,map_symbol_reviewed;reviewed;printed_map_review
189,165,2.1,map_symbol_reviewed;reviewed;printed_map_review
186,189,2.1,map_symbol_reviewed;reviewed;printed_map_review
164,138,2.1,map_symbol_reviewed;reviewed;printed_map_review
139,138,2.1,map_symbol_reviewed;reviewed;printed_map_review
137,138,2.1,map_symbol_reviewed;reviewed;printed_map_review
142,138,2.1,map_symbol_reviewed;reviewed;printed_map_review
134,142,2.1,map_symbol_reviewed;reviewed;printed_map_review
143,142,2.1,map_symbol_reviewed;reviewed;printed_map_review
135,142,2.1,map_symbol_reviewed;reviewed;printed_map_review
138,135,2.1,map_symbol_reviewed;reviewed;printed_map_review
136,137,2.1,map_symbol_reviewed;reviewed;printed_map_review
135,136,2.1,map_symbol_reviewed;reviewed;printed_map_review
137,186,2.1,map_symbol_reviewed;reviewed;printed_map_review
144,156,2.1,map_symbol_reviewed;reviewed;printed_map_review
166,167,2.1,map_symbol_reviewed;reviewed;printed_map_review
190,167,2.1,map_symbol_reviewed;reviewed;printed_map_review
178,181,2.1,map_symbol_reviewed;reviewed;printed_map_review
292,82,2.1,map_symbol_reviewed;reviewed;printed_map_review
291,292,2.1,map_symbol_reviewed;reviewed;printed_map_review
290,291,2.1,map_symbol_reviewed;reviewed;printed_map_review
33,38,2.1,map_symbol_reviewed;reviewed;printed_map_review
18,288,2.1,map_symbol_reviewed;reviewed;printed_map_review
33,288,2.1,map_symbol_reviewed;reviewed;printed_map_review
31,288,2.1,map_symbol_reviewed;reviewed;printed_map_review
42,31,2.1,map_symbol_reviewed;reviewed;printed_map_review
288,289,2.1,map_symbol_reviewed;reviewed;printed_map_review
33,289,2.1,map_symbol_reviewed;reviewed;printed_map_review
290,33,2.1,map_symbol_reviewed;reviewed;printed_map_review
42,289,2.1,map_symbol_reviewed;reviewed;printed_map_review
50,42,2.1,map_symbol_reviewed;reviewed;printed_map_review
82,50,2.1,map_symbol_reviewed;reviewed;printed_map_review
9,24,2.1,map_symbol_reviewed;reviewed;printed_map_review
9,20,2.1,map_symbol_reviewed;reviewed;printed_map_review
20,25,2.1,map_symbol_reviewed;reviewed;printed_map_review
294,303,2.1;12.2,map_symbol_reviewed;reviewed;printed_map_review
285,323,2.1;12.2,map_symbol_reviewed;reviewed;printed_map_review
286,328,2.1;12.2,map_symbol_reviewed;reviewed;printed_map_review
